time (seconds),encoderLeft (meters),encoderRight (meters)
134.201,12.904406547546387,13.038963317871094
134.301,12.90440559387207,13.038962364196777
134.401,12.904404640197754,13.038961410522461
134.499,12.904402732849121,13.038959503173828
134.601,12.904401779174805,13.038958549499512
134.701,12.904400825500488,13.038956642150879
134.798,12.904399871826172,13.038955688476562
134.901,12.904397964477539,13.03895378112793
135.001,12.904397010803223,13.038952827453613
135.1,12.904396057128906,13.038951873779297
135.201,12.90439510345459,13.038949966430664
135.301,12.904393196105957,13.038949012756348
135.401,12.90439224243164,13.038947105407715
135.5,12.904391288757324,13.038946151733398
135.601,12.904390335083008,13.038945198059082
135.7,12.904388427734375,13.03894329071045
135.799,12.904387474060059,13.038942337036133
135.898,12.904386520385742,13.0389404296875
136.001,12.904385566711426,13.038939476013184
136.102,12.904383659362793,13.03893756866455
136.201,12.904382705688477,13.038936614990234
136.301,12.90438175201416,13.038935661315918
136.401,12.904380798339844,13.038933753967285
136.501,12.904378890991211,13.038932800292969
136.602,12.904377937316895,13.038930892944336
136.701,12.904376983642578,13.03892993927002
136.799,12.904376029968262,13.038928985595703
136.901,12.904374122619629,13.03892707824707
137.001,12.904373168945312,13.038926124572754
137.101,12.904372215270996,13.038924217224121
137.2,12.90437126159668,13.038923263549805
137.301,12.904369354248047,13.038922309875488
137.401,12.90436840057373,13.038920402526855
137.5,12.904367446899414,13.038919448852539
137.601,12.904366493225098,13.038917541503906
137.701,12.904364585876465,13.03891658782959
137.8,12.904363632202148,13.038914680480957
137.901,12.904362678527832,13.03891372680664
138,12.904361724853516,13.038912773132324
138.1,12.9043607711792,13.038910865783691
138.199,12.904358863830566,13.038909912109375
138.301,12.90435791015625,13.038908004760742
138.4,12.904356956481934,13.038907051086426
138.499,12.904356002807617,13.03890609741211
138.601,12.904354095458984,13.038904190063477
138.699,12.904353141784668,13.03890323638916
138.803,12.904352188110352,13.038901329040527
138.899,12.904351234436035,13.038900375366211
139.001,12.904349327087402,13.038898468017578
139.1,12.904348373413086,13.038897514343262
139.197,12.90434741973877,13.038896560668945
139.298,12.904346466064453,13.038894653320312
139.401,12.90434455871582,13.038893699645996
139.501,12.904343605041504,13.038891792297363
139.602,12.904342651367188,13.038890838623047
139.702,12.904342651367188,13.038890838623047
139.801,12.904342651367188,13.038890838623047
139.9,12.904342651367188,13.038890838623047
140.001,12.904342651367188,13.038890838623047
140.1,12.904341697692871,13.03888988494873
140.201,12.904340744018555,13.038887977600098
140.301,12.904338836669922,13.038887023925781
140.399,12.904337882995605,13.038885116577148
140.501,12.904335975646973,13.038883209228516
140.601,12.904335021972656,13.0388822555542
140.701,12.90433406829834,13.038880348205566
140.802,12.904332160949707,13.03887939453125
140.9,12.90433120727539,13.038877487182617
141.001,12.904330253601074,13.0388765335083
141.1,12.904328346252441,13.038874626159668
141.201,12.904327392578125,13.038873672485352
141.3,12.904325485229492,13.038871765136719
141.399,12.904324531555176,13.038870811462402
141.501,12.90432357788086,13.03886890411377
141.6,12.904321670532227,13.038866996765137
141.701,12.90432071685791,13.03886604309082
141.799,12.904319763183594,13.038864135742188
141.901,12.904317855834961,13.038863182067871
142.001,12.904316902160645,13.038861274719238
142.101,12.904315948486328,13.038860321044922
142.201,12.954705238342285,13.104762077331543
142.299,13.010943412780762,13.174762725830078
142.397,13.073774337768555,13.249072074890137
142.5,13.139516830444336,13.325435638427734
142.599,13.211966514587402,13.406820297241211
142.699,13.289380073547363,13.492149353027344
142.801,13.372475624084473,13.582193374633789
142.901,13.45953369140625,13.675640106201172
143,13.54958438873291,13.771709442138672
143.1,13.643250465393066,13.871014595031738
143.193,13.739974021911621,13.973114013671875
143.301,13.839170455932617,14.077519416809082
143.4,13.940385818481445,14.183853149414062
143.501,14.042627334594727,14.291193962097168
143.6,14.146050453186035,14.399733543395996
143.699,14.250362396240234,14.509279251098633
143.8,14.354790687561035,14.618999481201172
143.9,14.459189414978027,14.72887134552002
143.997,14.563323020935059,14.838634490966797
144.099,14.665879249572754,14.947358131408691
144.2,14.76776123046875,15.0556001663208
144.301,14.867621421813965,15.162360191345215
144.395,14.964715003967285,15.267069816589355
144.499,15.060540199279785,15.370841979980469
144.6,15.15283203125,15.472027778625488
144.699,15.241568565368652,15.570669174194336
144.801,15.327431678771973,15.667306900024414
144.901,15.41048812866211,15.762042045593262
144.996,15.489222526550293,15.853963851928711
145.101,15.563614845275879,15.94322395324707
145.198,15.634106636047363,16.030250549316406
145.298,15.701789855957031,16.115779876708984
145.401,15.766568183898926,16.199857711791992
145.501,15.827796936035156,16.282329559326172
145.6,15.886853218078613,16.363929748535156
145.7,15.945049285888672,16.445220947265625
145.8,16.001955032348633,16.526132583618164
145.901,16.05872344970703,16.607162475585938
146.001,16.11637306213379,16.688716888427734
146.099,16.176603317260742,16.771602630615234
146.2,16.238162994384766,16.855173110961914
146.301,16.303226470947266,16.940595626831055
146.402,16.374216079711914,17.02937126159668
146.501,16.44684600830078,17.119123458862305
146.6,16.525436401367188,17.212608337402344
146.702,16.60749053955078,17.30837631225586
146.8,16.69561767578125,17.408342361450195
146.898,16.788963317871094,17.512081146240234
147.001,16.88718605041504,17.619470596313477
147.101,16.99077033996582,17.730989456176758
147.201,17.10017967224121,17.84710693359375
147.301,17.2141170501709,17.966867446899414
147.401,17.332178115844727,18.089984893798828
147.501,17.45435333251953,18.216476440429688
147.601,17.57808494567871,18.3442440032959
147.701,17.705734252929688,18.47524070739746
147.801,17.83698081970215,18.60918617248535
147.901,17.971555709838867,18.745832443237305
147.997,18.108203887939453,18.88412857055664
148.1,18.246524810791016,19.023725509643555
148.201,18.387001037597656,19.164926528930664
148.3,18.528776168823242,19.30701446533203
148.4,18.671749114990234,19.44977569580078
148.501,18.815275192260742,19.592700958251953
148.598,18.959075927734375,19.735376358032227
148.701,19.10269546508789,19.877412796020508
148.8,19.246124267578125,20.019062042236328
148.899,19.388408660888672,20.15886878967285
149.001,19.529382705688477,20.296817779541016
149.093,19.668676376342773,20.432512283325195
149.199,19.806045532226562,20.565696716308594
149.301,19.942371368408203,20.697532653808594
149.4,20.075965881347656,20.82588005065918
149.5,20.207075119018555,20.95106315612793
149.596,20.335750579833984,21.073139190673828
149.699,20.46154022216797,21.191513061523438
149.801,20.584379196166992,21.306062698364258
149.901,20.70318031311035,21.41529655456543
150,20.819475173950195,21.521167755126953
150.101,20.93243980407715,21.62247657775879
150.201,21.042930603027344,21.720312118530273
