time (seconds),encoderLeft (meters),encoderRight (meters)
8729.498,1225.337890625,1316.54345703125
8729.601,1225.4158935546875,1316.6348876953125
8729.701,1225.490478515625,1316.7242431640625
8729.801,1225.5616455078125,1316.8116455078125
8729.901,1225.6290283203125,1316.8970947265625
8730,1225.692626953125,1316.9805908203125
8730.101,1225.754638671875,1317.0633544921875
8730.201,1225.81494140625,1317.1455078125
8730.301,1225.872314453125,1317.2265625
8730.401,1225.9290771484375,1317.3074951171875
8730.501,1225.98583984375,1317.3885498046875
8730.601,1226.0440673828125,1317.4703369140625
8730.7,1226.103759765625,1317.552978515625
8730.8,1226.167236328125,1317.637451171875
8730.895,1226.23486328125,1317.724365234375
8731.001,1226.3057861328125,1317.8131103515625
8731.101,1226.3817138671875,1317.9049072265625
8731.2,1226.4619140625,1317.9993896484375
8731.301,1226.5465087890625,1318.096923828125
8731.393,1226.6363525390625,1318.1981201171875
8731.497,1226.7318115234375,1318.3033447265625
8731.602,1226.8328857421875,1318.4130859375
8731.701,1226.936279296875,1318.5244140625
8731.8,1227.04541015625,1318.6402587890625
8731.901,1227.1595458984375,1318.7601318359375
8731.997,1227.2781982421875,1318.8837890625
8732.101,1227.3992919921875,1319.0093994140625
8732.197,1227.524658203125,1319.138427734375
8732.301,1227.6534423828125,1319.2703857421875
8732.4,1227.7857666015625,1319.4052734375
8732.501,1227.920166015625,1319.541748046875
8732.599,1228.0572509765625,1319.680419921875
8732.701,1228.19677734375,1319.8209228515625
8732.8,1228.338134765625,1319.9627685546875
8732.901,1228.4801025390625,1320.10498046875
8733.001,1228.623291015625,1320.247802734375
8733.101,1228.766845703125,1320.3907470703125
8733.2,1228.91064453125,1320.5333251953125
8733.301,1229.0540771484375,1320.6751708984375
8733.402,1229.197265625,1320.8162841796875
8733.5,1229.3394775390625,1320.9559326171875
8733.599,1229.480224609375,1321.0936279296875
8733.7,1229.61962890625,1321.2293701171875
8733.801,1229.75634765625,1321.36181640625
8733.901,1229.891845703125,1321.4925537109375
8734,1230.02490234375,1321.6202392578125
8734.1,1230.155517578125,1321.7447509765625
8734.197,1230.283203125,1321.865478515625
8734.301,1230.406982421875,1321.9814453125
8734.4,1230.5294189453125,1322.095458984375
8734.5,1230.6490478515625,1322.2056884765625
8734.601,1230.7646484375,1322.3106689453125
8734.7,1230.87841796875,1322.4132080078125
8734.801,1230.9891357421875,1322.51123046875
8734.899,1231.097900390625,1322.606689453125
8734.996,1231.2041015625,1322.6981201171875
8735.101,1231.30859375,1322.7872314453125
8735.201,1231.4119873046875,1322.8746337890625
8735.294,1231.5125732421875,1322.957763671875
8735.401,1231.6123046875,1323.0394287109375
8735.499,1231.71142578125,1323.120361328125
8735.601,1231.8101806640625,1323.2008056640625
8735.701,1231.908935546875,1323.281494140625
8735.8,1232.0081787109375,1323.363037109375
8735.901,1232.10791015625,1323.44580078125
8736,1232.208984375,1323.53076171875
8736.101,1232.310546875,1323.6168212890625
8736.201,1232.413818359375,1323.7056884765625
8736.304,1232.5189208984375,1323.7974853515625
8736.401,1232.6259765625,1323.892333984375
8736.501,1232.734375,1323.989501953125
8736.598,1232.845458984375,1324.0904541015625
8736.702,1232.9576416015625,1324.1929931640625
8736.802,1233.0721435546875,1324.2989501953125
8736.901,1233.1876220703125,1324.40625
8736.995,1233.304931640625,1324.516357421875
8737.098,1233.4237060546875,1324.6285400390625
8737.2,1233.5435791015625,1324.7425537109375
8737.301,1233.6641845703125,1324.8577880859375
8737.401,1233.784912109375,1324.9732666015625
8737.499,1233.9058837890625,1325.0894775390625
8737.6,1234.026611328125,1325.205810546875
8737.697,1234.146728515625,1325.3218994140625
8737.8,1234.265625,1325.437255859375
8737.9,1234.3834228515625,1325.5516357421875
8737.999,1234.49951171875,1325.66455078125
8738.1,1234.613037109375,1325.775146484375
8738.2,1234.7235107421875,1325.883056640625
8738.297,1234.8326416015625,1325.989501953125
8738.4,1234.9393310546875,1326.09375
8738.501,1235.041015625,1326.1932373046875
8738.599,1235.140380859375,1326.2904052734375
8738.701,1235.234130859375,1326.3822021484375
8738.801,1235.322509765625,1326.4686279296875
8738.901,1235.40478515625,1326.5489501953125
8739.001,1235.4810791015625,1326.6234130859375
8739.101,1235.5548095703125,1326.6951904296875
8739.201,1235.6220703125,1326.7606201171875
8739.301,1235.682861328125,1326.8193359375
8739.4,1235.73681640625,1326.8709716796875
8739.497,1235.7860107421875,1326.917724609375
8739.602,1235.7864990234375,1326.9180908203125
8739.7,1235.7864990234375,1326.9180908203125
8739.802,1235.7864990234375,1326.9180908203125
8739.9,1235.7864990234375,1326.9180908203125
8740.001,1235.7864990234375,1326.9180908203125
8740.101,1235.78662109375,1326.918212890625
8740.201,1235.78662109375,1326.918212890625
8740.3,1235.78662109375,1326.918212890625
8740.402,1235.78662109375,1326.918212890625
8740.501,1235.78662109375,1326.918212890625
8740.599,1235.78662109375,1326.918212890625
8740.7,1235.78662109375,1326.918212890625
8740.8,1235.78662109375,1326.918212890625
